comments	ratings
很好吃。吃這個肉飯可以多吃好幾碗	5
真的好吃，吃了三塊才想到要拍照	5
"上層皮有脆附的洋蔥好吃但真的好油…
份量偏少 有點貴"	3
"皮很脆！肉也很Q！
辣粉很香 配菜也很適合！
超推下酒菜！"	5
第一次買 好好吃 以後都會去買	5
第一次吃的時候驚為天人，目前已回購數次，洋蔥是個人認為最為亮眼的存在，超甜超好吃，配上豬肉真是絕配。	5
自發性來留言的好吃😋原本只是路過買隔壁的鐵板燒便當，想說嘗試一下，哇靠，這脆皮豬吃下去配個洋蔥跟泡菜，凹嗚～～～～讚的！沒吃過的真的可以買，支持下去了！	5
脆皮豬口味超讚，附贈配菜很搭很好吃！	5
非常好吃❤️不油膩！已連續兩天購買～洋蔥跟泡菜也很清爽！推推！	5
老闆娘親切又漂亮，每次購餐全家人都秒殺！酥脆又香！好可惜只能有五顆星能給！想給500顆星！人間美味啊～	5
"肉感覺切很大，但是8成以上都是軟爛軟爛的油花⋯
配菜洋蔥跟涼拌百香果木瓜好吃，包裝蠻精緻的
可能適合愛吃油花肉的人"	2
今天第一次去購買～店員很親切，東西非常好吃！皮超酥脆份量很多很划算！	5
"皮脆肉嫩又多汁
原味的就很對味
沾點附贈的那包粉（不知道是什麼）
更能添加滋味
好吃😋"	5
還沒吃過但懂吃的朋友說5分~希望快點有一天可以吃到	5
皮脆肉嫩！服務態度很好！	5
非常好吃，烤的皮酥肉嫩也不油，還會回購	5
"服務親切、
東西好吃、
會再回購"	5
"很好吃喔！配菜也很搭！
想請問老闆，用百香果醃漬的是什麼菜呢？"	5
老闆及老闆娘都很親切，東西好吃實在，洋蔥及百香果配料超好吃，會再回購👍	5
"超好吃
一個星期吃兩次"	5
皮脆肉嫩，服務態度很好	5
蠻好吃的 不油膩	5
"包裝精緻，且皮非常脆 超級好吃

如果配料在多一些些更好哈😆😆"	5
"第一次買來吃！
很酥很脆！非常好吃😋！
很推👍"	5
"吃過後非常喜歡
小菜非常用心
豬肉也烤的非常酥脆"	5
美味😋健康🤤經過必買的😍	5
"推 好吃 脆
3種配料也超好的"	5
"好吃酥脆
第二次購買"	5
好吃肉肉 加量不加價	5
超好吃 一點要再來	5
肉酥脆好吃，一口接一口停不下來，服務態度也很棒	5
好吃、乾淨、服務好！	5
服務很好，好吃讚讚👍🏻	5
豬肉烤的香氣十足，小菜搭配好，連小孩都愛	5
看起來很好吃	5
常買，很好吃	5
搭配起來，真的很好吃！	5
皮脆 好吃 老闆親切	5
超好吃的脆皮豬 ！	5
一試成主顧 ，非常好吃，大力推薦😍😍 …	5
又脆又香 老闆娘又正 讚讚讚	5
餐點好吃，服務態度很好，超香的～	5
有活動真好吃	5
老闆、老闆娘人很好，乾淨且好吃	5
很好吃的脆皮豬	5
沒有白飯是最可惜的	5
終於吃到脆皮豬！	5
新開的店～嚐鮮🤤 …	5
超級好吃❤️	5
親切老闆 讚👍 …	5
東西很好吃	5
皮酥脆，肉不會過硬	5
老闆態度和氣	5
好吃的脆皮豬	5
很好吃 大推😋 …	5
外皮酥脆，肉質嫩多汁，搭配附上的小菜和辣椒粉，很好吃😋 …	4
好吃cp值高！ ！	5
很酥！好吃	5
肉類真好吃	5
好吃到不行啊	5
好吃	5
好吃！ ！	5
就是好吃	5
好吃	5
肉好吃爽口	5
好吃	5
美味，好吃，口感佳	5
好吃	5
很好吃	5
好吃	5
好吃！	5
好吃😋 …	5
好吃😋 …	5
	5
	5
	4
	5
	5
	5
	5
	5
	5
	5
	5
	5
	5
	5
	5
	5
	5
	5
	5
	5
	5
	5
	5
	5
	5
	5
	5
	5
	5
	5
	5
	5
	5
	3
	5
	5
	5
	5
	5
	5
	5
